No.,Q. 過去形にしなさい,No.,Q. 過去形 (-d / -ied / 重ねる),No.,Q. 文を過去形にしなさい
1,play → ( ),101,like → ( ),201,I ( play ) tennis. → ( played )
2,watch → ( ),102,live → ( ),202,You ( play ) guitar. → ( )
3,cook → ( ),103,use → ( ),203,He ( play ) baseball. → ( )
4,walk → ( ),104,hope → ( ),204,She ( play ) games. → ( )
5,listen → ( ),105,love → ( ),205,We ( play ) soccer. → ( )
6,look → ( ),106,dance → ( ),206,They ( play ) cards. → ( )
7,want → ( ),107,smile → ( ),207,I ( watch ) TV. → ( )
8,talk → ( ),108,move → ( ),208,You ( watch ) a movie. → ( )
9,help → ( ),109,arrive → ( ),209,He ( watch ) the game. → ( )
10,visit → ( ),110,close → ( ),210,She ( watch ) YouTube. → ( )
11,clean → ( ),111,invite → ( ),211,We ( cook ) dinner. → ( )
12,wash → ( ),112,bake → ( ),212,They ( cook ) lunch. → ( )
13,open → ( ),113,practice → ( ),213,I ( walk ) to school. → ( )
14,start → ( ),114,change → ( ),214,You ( walk ) in the park. → ( )
15,finish → ( ),115,save → ( ),215,He ( listen ) to music. → ( )
16,enjoy → ( ),116,believe → ( ),216,She ( listen ) to the radio. → ( )
17,stay → ( ),117,receive → ( ),217,We ( look ) at the picture. → ( )
18,call → ( ),118,decide → ( ),218,They ( look ) at the stars. → ( )
19,wait → ( ),119,die → ( ),219,I ( want ) a new bike. → ( )
20,rain → ( ),120,like → ( ),220,You ( want ) some water. → ( )
21,show → ( ),121,study → ( ),221,He ( talk ) with his friend. → ( )
22,answer → ( ),122,try → ( ),222,She ( talk ) to the teacher. → ( )
23,play → ( ),123,cry → ( ),223,We ( help ) our mother. → ( )
24,watch → ( ),124,carry → ( ),224,They ( help ) each other. → ( )
25,cook → ( ),125,dry → ( ),225,I ( visit ) Kyoto. → ( )
26,walk → ( ),126,fry → ( ),226,You ( visit ) your uncle. → ( )
27,listen → ( ),127,worry → ( ),227,He ( clean ) his room. → ( )
28,look → ( ),128,hurry → ( ),228,She ( clean ) the house. → ( )
29,want → ( ),129,marry → ( ),229,We ( wash ) the dishes. → ( )
30,talk → ( ),130,study → ( ),230,They ( wash ) the car. → ( )
